Quantify Compound Summary Report 

Printed Fri Apr 20 12:29:11 2012

Compound 1:  L-histidine

	#	Name	Sample Text	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	ug/ml	%Dev	Acq.Date	Acq.Time	ID
93	93	S02SST_A1	SST	Analyte		1.51	23	144334	0.000	bbI	0.0		13-Apr-12	15:51:18	Batch02_000
94	94	S02SST_A2	SST	Analyte		1.50	8	147515	0.000	bbI	0.0		13-Apr-12	16:01:46	Batch02_000
95	95	S02SST_A3	SST	Analyte		1.52	6	147961	0.000	bbI	0.0		13-Apr-12	16:12:12	Batch02_000
96	96	S02SST_A4	SST	Analyte		1.51	22	152661	0.000	bbI	0.0		13-Apr-12	16:22:37	Batch02_000
97	97	S02SST_A5	SST	Analyte		1.50	20	148868	0.000	bbI	0.0		13-Apr-12	16:33:02	Batch02_000
80	80	S02QC_A1	QC	QC	0.000	1.48	23524	136115	0.102	bb	0.2		13-Apr-12	16:43:27	Batch02_001
58	58	S02Blank_A1	Blank	Solvent		1.51	15	2	3.778	bb	486.2		13-Apr-12	16:53:52	Batch02_002
81	81	S02QC_A2	QC	QC	0.000	1.48	24038	137902	0.103	bb	0.3		13-Apr-12	17:04:17	Batch02_003
70	70	S02CAL8_A1	Calibration	Standard	129.420	1.49	246743	134380	1.083	bb	129.9	0.4	13-Apr-12	17:14:42	Batch02_004
69	69	S02CAL7_A1	Calibration	Standard	64.710	1.48	134709	132360	0.600	bb	66.1	2.1	13-Apr-12	17:25:07	Batch02_005
63	63	S02CAL1_A1	Calibration	Standard	1.010	1.48	24404	127664	0.113	bb	1.6	58.7	13-Apr-12	17:35:32	Batch02_006
68	68	S02CAL6_A1	Calibration	Standard	32.350	1.48	76209	131376	0.342	bb	31.9	-1.2	13-Apr-12	17:45:57	Batch02_007
66	66	S02CAL4_A1	Calibration	Standard	8.090	1.48	37558	139475	0.159	bb	7.7	-4.8	13-Apr-12	17:56:22	Batch02_008
